County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Copiah County,White,48,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",1,9,Denied,Yes
Copiah County,Black,70,Male,High School,Unemployed,"$20,000 - $50,000",1,8,Denied,Yes
Copiah County,White,73,Male,High School,Employed,"< $20,000",1,7,Denied,No
Copiah County,White,26,Male,Some College,Unemployed,"$20,000 - $50,000",0,6,Granted,No
Copiah County,White,38,Female,Master's Degree,Employed,"$50,000 - $100,000",0,3,Granted,No
Copiah County,White,42,Male,Less than High School,Employed,"$50,000 - $100,000",4,6,Granted,No
Copiah County,White,57,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",1,5,Granted,No
Copiah County,Black,37,Female,Less than High School,Unemployed,"< $20,000",1,1,Granted,Yes
Copiah County,Black,33,Male,Some College,Unemployed,"< $20,000",4,5,Denied,No
Copiah County,White,33,Male,Less than High School,Unemployed,"< $20,000",1,10,Denied,No
Copiah County,White,70,Male,Master's Degree,Employed,"$50,000 - $100,000",3,5,Granted,No
Copiah County,White,51,Female,Some College,Unemployed,"$20,000 - $50,000",2,5,Granted,No
Copiah County,White,52,Male,High School,Employed,"$20,000 - $50,000",3,7,Denied,No
Copiah County,Black,41,Female,Less than High School,Employed,"$20,000 - $50,000",1,8,Denied,Yes
Copiah County,White,33,Female,Master's Degree,Employed,"$50,000 - $100,000",1,8,Denied,Yes
Copiah County,Black,26,Female,Less than High School,Unemployed,"< $20,000",1,6,Denied,Yes
Copiah County,White,24,Female,High School,Employed,"$20,000 - $50,000",1,7,Denied,No
Copiah County,Black,47,Male,Some College,Employed,"$20,000 - $50,000",2,4,Granted,No
Copiah County,White,49,Female,Less than High School,Unemployed,"$20,000 - $50,000",3,7,Denied,No
Copiah County,White,38,Female,Some College,Employed,"$50,000 - $100,000",4,4,Granted,No
Copiah County,White,75,Female,Some College,Employed,"< $20,000",3,3,Granted,No
Copiah County,Black,23,Male,Less than High School,Employed,"< $20,000",2,6,Denied,Yes
Copiah County,White,48,Female,High School,Employed,"< $20,000",1,5,Granted,Yes
Copiah County,Black,35,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",1,7,Denied,No
Copiah County,Black,60,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,3,Granted,No
Copiah County,White,68,Male,High School,Employed,"$50,000 - $100,000",4,6,Granted,Yes
Copiah County,White,19,Female,Less than High School,Employed,"$20,000 - $50,000",0,5,Granted,No
Copiah County,Black,45,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",1,3,Granted,No
Copiah County,White,53,Male,High School,Employed,"< $20,000",1,4,Granted,Yes
Copiah County,White,55,Female,Bachelor's Degree,Employed,"> $100,000",1,2,Granted,No
Copiah County,White,51,Female,Less than High School,Unemployed,"< $20,000",1,1,Granted,Yes
Copiah County,White,50,Male,Some College,Employed,"$50,000 - $100,000",2,4,Granted,No
Copiah County,White,42,Male,Less than High School,Unemployed,"< $20,000",5,7,Denied,Yes
Copiah County,Black,24,Female,Some College,Unemployed,"< $20,000",0,6,Denied,Yes
Copiah County,White,23,Male,Less than High School,Employed,"$20,000 - $50,000",2,4,Granted,No
Copiah County,Black,30,Male,High School,Unemployed,"< $20,000",0,8,Denied,Yes
Copiah County,White,57,Male,Less than High School,Unemployed,"< $20,000",1,1,Granted,No
Copiah County,White,38,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,7,Denied,No
Copiah County,White,50,Male,Master's Degree,Employed,"$50,000 - $100,000",2,6,Granted,No
Copiah County,White,27,Male,High School,Employed,"> $100,000",1,3,Granted,No
Copiah County,Black,46,Male,Bachelor's Degree,Employed,"> $100,000",1,3,Granted,No
Copiah County,White,63,Male,High School,Unemployed,"< $20,000",0,5,Granted,No
Copiah County,White,22,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",2,5,Granted,No
Copiah County,Black,24,Male,Less than High School,Unemployed,"< $20,000",0,10,Denied,Yes
Copiah County,White,59,Female,Master's Degree,Employed,"$20,000 - $50,000",1,8,Denied,No
Copiah County,White,46,Female,Some College,Employed,"$50,000 - $100,000",2,2,Granted,No
Copiah County,White,34,Female,High School,Employed,"< $20,000",0,4,Granted,Yes
Copiah County,White,54,Female,High School,Employed,"< $20,000",3,6,Granted,No
