County,Race,Age,Gender,Education Level,Employment Status,Income Level,Prior Convictions,Risk Score,Judge Decision,Re-offense
Claiborne County,Black,62,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",5,2,Granted,No
Claiborne County,Black,48,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",3,7,Denied,No
Claiborne County,Black,44,Male,High School,Unemployed,"$50,000 - $100,000",2,6,Denied,No
Claiborne County,Black,63,Female,Bachelor's Degree,Employed,"> $100,000",1,5,Denied,No
Claiborne County,Black,53,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,44,Male,Less than High School,Employed,"< $20,000",0,5,Denied,Yes
Claiborne County,Black,18,Male,Bachelor's Degree,Employed,"> $100,000",1,8,Denied,Yes
Claiborne County,White,58,Female,Some College,Unemployed,"< $20,000",5,7,Denied,No
Claiborne County,White,20,Female,Less than High School,Unemployed,"< $20,000",0,6,Granted,No
Claiborne County,Black,24,Male,Some College,Employed,"$20,000 - $50,000",0,8,Denied,No
Claiborne County,Black,42,Male,Less than High School,Employed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,White,67,Male,Some College,Employed,"< $20,000",6,5,Granted,Yes
Claiborne County,Black,19,Male,PhD,Employed,"$50,000 - $100,000",1,7,Denied,No
Claiborne County,Black,51,Male,Less than High School,Unemployed,"< $20,000",1,4,Granted,Yes
Claiborne County,Black,72,Male,High School,Employed,"< $20,000",2,4,Granted,No
Claiborne County,Black,37,Male,Less than High School,Employed,"$20,000 - $50,000",6,3,Granted,No
Claiborne County,Black,56,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",3,5,Denied,No
Claiborne County,Black,74,Female,Master's Degree,Employed,"> $100,000",3,2,Granted,No
Claiborne County,Black,53,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",1,8,Denied,No
Claiborne County,Black,73,Male,Less than High School,Unemployed,"$20,000 - $50,000",1,6,Denied,No
Claiborne County,Black,33,Female,Some College,Unemployed,"< $20,000",1,10,Denied,No
Claiborne County,Black,65,Male,High School,Employed,"$50,000 - $100,000",3,2,Granted,No
Claiborne County,Black,29,Male,Less than High School,Unemployed,"< $20,000",1,9,Denied,Yes
Claiborne County,Black,39,Female,Less than High School,Employed,"< $20,000",2,4,Granted,Yes
Claiborne County,Black,23,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",1,8,Denied,Yes
Claiborne County,Black,48,Male,High School,Unemployed,"$20,000 - $50,000",0,7,Denied,No
Claiborne County,Black,30,Male,High School,Unemployed,"< $20,000",2,4,Granted,No
Claiborne County,White,37,Female,Some College,Employed,"$50,000 - $100,000",1,5,Granted,No
Claiborne County,Black,54,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",3,5,Denied,No
Claiborne County,Black,58,Female,Some College,Employed,"< $20,000",0,4,Granted,Yes
Claiborne County,Black,65,Male,Less than High School,Unemployed,"$20,000 - $50,000",1,6,Denied,No
Claiborne County,Black,38,Male,Some College,Unemployed,"< $20,000",4,6,Denied,Yes
Claiborne County,Black,57,Male,High School,Unemployed,"> $100,000",6,6,Denied,Yes
Claiborne County,Black,75,Male,High School,Employed,"< $20,000",1,8,Denied,Yes
Claiborne County,Black,67,Female,Less than High School,Employed,"$20,000 - $50,000",2,4,Granted,No
Claiborne County,Black,31,Female,High School,Employed,"$20,000 - $50,000",0,8,Denied,Yes
Claiborne County,Black,73,Male,Some College,Employed,"$20,000 - $50,000",0,6,Denied,No
Claiborne County,Black,25,Male,Some College,Unemployed,"> $100,000",0,7,Denied,No
Claiborne County,White,32,Male,High School,Unemployed,"$20,000 - $50,000",2,8,Denied,No
Claiborne County,Black,52,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",1,6,Denied,No
Claiborne County,Black,30,Male,Master's Degree,Employed,"> $100,000",1,3,Granted,No
Claiborne County,Black,20,Female,Less than High School,Unemployed,"< $20,000",0,4,Granted,Yes
Claiborne County,Black,71,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,27,Male,High School,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,20,Male,High School,Unemployed,"< $20,000",1,10,Denied,Yes
Claiborne County,Black,55,Male,High School,Unemployed,"$20,000 - $50,000",1,9,Denied,Yes
Claiborne County,Black,50,Male,High School,Unemployed,"< $20,000",4,6,Denied,Yes
Claiborne County,Black,75,Female,High School,Employed,"$50,000 - $100,000",3,4,Granted,No
Claiborne County,Black,75,Male,Bachelor's Degree,Employed,"$20,000 - $50,000",3,4,Granted,No
Claiborne County,Black,59,Female,High School,Employed,"< $20,000",1,7,Denied,Yes
Claiborne County,Black,52,Male,High School,Employed,"< $20,000",1,6,Denied,Yes
Claiborne County,Black,61,Female,Bachelor's Degree,Employed,"> $100,000",0,3,Granted,No
Claiborne County,Black,43,Male,Less than High School,Employed,"> $100,000",0,9,Denied,Yes
Claiborne County,Black,22,Male,High School,Employed,"$20,000 - $50,000",1,7,Denied,No
Claiborne County,Black,19,Male,High School,Employed,"< $20,000",0,7,Denied,Yes
Claiborne County,Black,36,Male,High School,Employed,"$50,000 - $100,000",1,3,Granted,No
Claiborne County,Black,56,Male,High School,Unemployed,"< $20,000",1,6,Denied,Yes
Claiborne County,Black,32,Female,Bachelor's Degree,Employed,"> $100,000",1,6,Denied,No
Claiborne County,Black,63,Female,High School,Employed,"$50,000 - $100,000",1,8,Denied,Yes
Claiborne County,Black,58,Male,Master's Degree,Employed,"$50,000 - $100,000",0,5,Denied,No
Claiborne County,Black,53,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",3,4,Granted,No
Claiborne County,White,22,Male,Bachelor's Degree,Employed,"< $20,000",1,6,Granted,Yes
Claiborne County,Black,39,Male,Some College,Employed,"< $20,000",1,6,Denied,Yes
Claiborne County,Black,75,Female,Some College,Employed,"$50,000 - $100,000",0,5,Denied,No
Claiborne County,Black,53,Female,Bachelor's Degree,Employed,"$50,000 - $100,000",2,9,Denied,No
Claiborne County,White,39,Male,Master's Degree,Employed,"$20,000 - $50,000",1,7,Denied,No
Claiborne County,Black,40,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",6,8,Denied,Yes
Claiborne County,Black,29,Male,Less than High School,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,31,Male,High School,Unemployed,"$50,000 - $100,000",2,4,Granted,No
Claiborne County,Black,18,Male,Bachelor's Degree,Employed,"$50,000 - $100,000",0,10,Denied,Yes
Claiborne County,Black,74,Male,Less than High School,Employed,"$20,000 - $50,000",1,4,Granted,No
Claiborne County,Black,29,Male,Less than High School,Employed,"< $20,000",0,8,Denied,No
Claiborne County,Black,60,Female,Bachelor's Degree,Employed,"> $100,000",4,6,Denied,Yes
Claiborne County,Black,34,Female,Less than High School,Employed,"$50,000 - $100,000",5,9,Denied,Yes
Claiborne County,Black,68,Male,Some College,Unemployed,"< $20,000",2,9,Denied,Yes
Claiborne County,Black,23,Female,Some College,Employed,"> $100,000",1,3,Granted,No
Claiborne County,Black,58,Female,High School,Employed,"$20,000 - $50,000",0,5,Denied,No
Claiborne County,White,43,Male,Less than High School,Employed,"< $20,000",0,4,Granted,Yes
Claiborne County,Black,53,Female,Some College,Employed,"$20,000 - $50,000",3,9,Denied,No
Claiborne County,Black,54,Male,Master's Degree,Employed,"$50,000 - $100,000",2,5,Denied,No
Claiborne County,Black,42,Female,Some College,Unemployed,"$20,000 - $50,000",2,9,Denied,Yes
Claiborne County,Black,71,Female,Bachelor's Degree,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,59,Female,Bachelor's Degree,Employed,"> $100,000",2,8,Denied,No
Claiborne County,Black,64,Female,Some College,Employed,"< $20,000",1,8,Denied,No
Claiborne County,Black,71,Male,Master's Degree,Employed,"$20,000 - $50,000",1,3,Granted,No
Claiborne County,Black,32,Female,Bachelor's Degree,Employed,"> $100,000",2,8,Denied,Yes
Claiborne County,Other,21,Female,High School,Unemployed,"$20,000 - $50,000",2,8,Denied,Yes
Claiborne County,Black,36,Male,Less than High School,Employed,"$20,000 - $50,000",2,7,Denied,No
Claiborne County,Black,67,Male,Some College,Employed,"$50,000 - $100,000",2,7,Denied,No
Claiborne County,Black,32,Male,Master's Degree,Employed,"$20,000 - $50,000",2,6,Denied,No
Claiborne County,Black,63,Female,Less than High School,Employed,"$50,000 - $100,000",2,3,Granted,No
Claiborne County,Black,18,Male,Some College,Employed,"< $20,000",2,3,Granted,No
Claiborne County,Black,75,Male,High School,Unemployed,"$20,000 - $50,000",3,4,Granted,No
Claiborne County,Black,50,Male,High School,Unemployed,"$20,000 - $50,000",4,8,Denied,Yes
Claiborne County,Black,61,Male,Some College,Employed,"< $20,000",2,5,Denied,No
Claiborne County,White,27,Female,Master's Degree,Employed,"> $100,000",1,5,Granted,No
Claiborne County,Black,37,Male,Some College,Unemployed,"< $20,000",1,5,Denied,No
Claiborne County,Black,72,Male,Some College,Unemployed,"$50,000 - $100,000",1,8,Denied,Yes
Claiborne County,Black,39,Female,High School,Employed,"< $20,000",1,6,Denied,No
Claiborne County,Black,49,Female,Less than High School,Employed,"$20,000 - $50,000",3,4,Granted,No
Claiborne County,Black,19,Female,Some College,Employed,"$20,000 - $50,000",0,5,Denied,No
Claiborne County,Black,48,Female,High School,Employed,"$50,000 - $100,000",3,5,Denied,No
Claiborne County,Black,41,Female,High School,Unemployed,"< $20,000",2,6,Denied,Yes
Claiborne County,Black,47,Male,Master's Degree,Employed,"< $20,000",3,3,Granted,Yes
Claiborne County,Black,47,Female,High School,Employed,"$20,000 - $50,000",1,7,Denied,No
Claiborne County,Black,45,Male,High School,Employed,"< $20,000",1,3,Granted,Yes
Claiborne County,Black,51,Female,Some College,Employed,"$50,000 - $100,000",5,9,Denied,Yes
Claiborne County,White,67,Female,Some College,Employed,"< $20,000",4,7,Denied,No
Claiborne County,Black,31,Female,High School,Employed,"$20,000 - $50,000",4,4,Granted,Yes
Claiborne County,Black,18,Male,High School,Unemployed,"< $20,000",0,4,Granted,Yes
Claiborne County,Black,74,Male,High School,Employed,"< $20,000",2,4,Granted,Yes
Claiborne County,Black,49,Female,Some College,Employed,"$20,000 - $50,000",2,5,Denied,No
Claiborne County,Black,23,Female,Some College,Unemployed,"$50,000 - $100,000",2,2,Granted,No
Claiborne County,Black,54,Male,High School,Unemployed,"$50,000 - $100,000",1,6,Denied,No
Claiborne County,Black,41,Female,High School,Unemployed,"$20,000 - $50,000",4,4,Granted,Yes
Claiborne County,White,51,Male,Master's Degree,Employed,"$20,000 - $50,000",2,6,Granted,No
Claiborne County,Black,63,Male,High School,Employed,"$50,000 - $100,000",1,5,Denied,No
Claiborne County,Black,59,Female,Less than High School,Employed,"< $20,000",2,8,Denied,No
Claiborne County,Black,39,Male,High School,Employed,"< $20,000",3,3,Granted,No
